[lark-cli] [WARN] proxy detected: HTTPS_PROXY=http://127.0.0.1:7890 — requests (including credentials) will transit through this proxy. Set LARK_CLI_NO_PROXY=1 to disable proxy.
`_record_id` is metadata for record operations, not a table field.

| _record_id | 单位简称 | 发表论文 | 办公地址 | 营收规模(万人民币) | 行业新闻 | 关键研发人员 | 主研装置 | 荣誉奖励 | 软著 | 网站主页 | 对接人 | 参研装置 | 发布代码 | 研发方向 | 单位角色 | 发表专利 | 人员数量 | 签订服务合同 | 单位类型 | 单位简介 | 上级单位 | 全名 | 需求 | 融资进度 | 所在地区 | 联系邮箱 | 成立时间 | 签订供应合同合同 | 最新估值/市值 |
| recvk9ZmAncxid | Pacific Fusion |  | San Diego, CA, USA |  | [{"id":"recvlCNIdxiZs1"}] |  |  |  |  | [https://www.pacificfusion.com](https://www.pacificfusion.com/) |  |  |  | 脉冲磁惯性聚变、脉冲功率、燃料靶、重复频率驱动、聚变电厂工程 | ["暂无"] |  | 80 |  | ["国外企业"] | 美国惯性/磁惯性聚变公司，聚焦低成本脉冲功率驱动的聚变能源系统；原表中“IEC/桌面式中子源”描述与公开资料不符，已修正。 |  | Pacific Fusion Systems, Inc |  | [{"id":"recvjYDkV9HtYb"}] | ["美国"] | info@pacificfusion.energy | 2021-04-26 00:00:00 |  |  |
| recvk9ZmAnYco4 | Realta Fusion |  | Madison, WI, USA |  | [{"id":"recvk9U8eg0RuK"}] | [{"id":"recvkiVxyc1ef0"},{"id":"recvkiVxyc9pH4"}] | [{"id":"recvk9W5vuMQOg"},{"id":"recvk9W5vuxUDm"}] |  |  | [https://www.realtafusion.com](https://www.realtafusion.com/) |  |  |  | 轴对称磁镜、串列磁镜、高温超导磁体、等离子体稳定性、工业热/电力应用 | ["暂无"] |  | 30 |  | ["国外企业"] | 源自威斯康星大学麦迪逊分校的磁镜聚变公司，面向工业热与发电场景开发高温超导轴对称磁镜路线。 |  | Realta Fusion Inc |  | [{"id":"recvjYDkV98wr9"},{"id":"recvkjzA6ChXtA"}] | ["美国"] | [info@realtafusion.com](http://info@realtafusion.com) | 2022-04-25 00:00:00 |  |  |
| recvk9ZmAn2X8Z | Phoenix Fusion |  | UK |  |  |  |  |  |  | [https://phoenixfusion.energy](https://phoenixfusion.energy/) |  |  |  | 球形托卡马克、高场超导磁体 | ["暂无"] |  | 50 |  | ["国外企业"] | 英国聚变初创公司，聚焦紧凑型球形托卡马克商业化，目标为数据中心等场景提供聚变电力。 |  | Phoenix Fusion Energy Ltd |  | [{"id":"recvjYDkV99IYN"},{"id":"recvjYDkV9oRYL"}] | ["欧洲"] |  |  |  |  |
| recvk9ZmAn3JFv | 中核集团 |  | 北京市西城区三里河南三巷1号 | 28057060 |  | [{"id":"recvjWUrmDQfTU"}] | [{"id":"recvk1SGzPAxkp"}] |  |  | [https://www.cnnc.com.cn](https://www.cnnc.com.cn/) |  | [] |  |  | ["甲方"] |  | 182750 |  | ["国央企"] | 中国核工业集团有限公司（简称：中核集团，英文缩写：CNNC）是中央直接管理的特大型国有重要骨干企业，是国家核科技工业主体，是推进核能开发利用、核工程建设、核技术应用的国家队和主力军，拥有完整的核科技工业体系，肩负着推动国防建设和经济社会发展的双重使命。中核集团资产规模约1.4万亿元，员工总数18万人，连续19年、6个任期国资委考核A级，连续5年获得央企党建责任制考核A级，连续6年获评中央单位定点帮扶工作考核“好”的最高等次，董事会建设连续3年获得国资委优秀评价，国企改革三年行动考核名列中央企业第2名，连续5年成为世界500强中唯一的全产业链核工业企业。 |  | 中国核工业集团有限公司 |  |  | ["中国"] |  | 1999-07-01 00:00:00 |  | 1400000000000 |
| recvk9ZmAnIZQZ | 中国聚变 |  | 上海市闵行区望汇路 260 弄 1 号 |  | [{"id":"recvk9U8egeYcp"}] | [{"id":"recvkiVxyccVvp"}] | [{"id":"recvk1SGzPhell"}] |  |  | [https://www.cnnc.com.cn](https://www.cnnc.com.cn/) |  |  |  | 聚变工程堆、氚增殖、包层系统、超导磁体、聚变装备国产化 | ["甲方"] |  | 200 |  | ["国央企"] | 国家级聚变产业化平台，由中核、国家电投、皖能、浙能等联合组建，统筹 CFETR 工程化、聚变堆产业链、氚技术、包层国产化 |  | 中国聚变能源有限公司 |  | [{"id":"recvjYDkV94e93"}] | ["中国"] | [info@cfec.com.cn](http://info@cfec.com.cn) | 1983-06-05 00:00:00 |  | 15000000000 |
| recvk9ZmAn53ni | 西物院 |  | 四川省成都市双流区长城路一段 216 号 |  |  | [{"id":"recvkiVxycbHxX"},{"id":"recvkiVxycJvLl"},{"id":"recvkiVxyc0ftd"},{"id":"recvkiVxycQfFw"},{"id":"recvkiVxycEH7I"},{"id":"recvkiVxyci1lA"},{"id":"recvkiVxycwtHE"},{"id":"recvkiVxycj1mb"},{"id":"recvkiVxyc3Yoc"},{"id":"recvkiVxycPete"},{"id":"recvkiVxyc5Blp"},{"id":"recvjWUrmDQfTU"},{"id":"recvkiVxyccVvp"},{"id":"recvkiVxycW0uu"},{"id":"recvkiVxycXu1V"},{"id":"recvkiVxycTpQy"},{"id":"recvkiVxycR4Do"},{"id":"recvkiVxyceAbR"},{"id":"recvkiVxycAu5D"},{"id":"recvkiVxycChF3"},{"id":"recvkiVxycQb5Y"},{"id":"recvkiVxycFxqj"},{"id":"recvkiVxycNSkd"},{"id":"recvkiVxycoTqN"},{"id":"recvkiVxycG4Bs"}] | [{"id":"recvk1SGzPLYYK"},{"id":"recvk1SGzPIQRh"},{"id":"recvk1SGzPi0qh"},{"id":"recvk1SGzPp7qp"}] | [{"id":"recvlU4a3XIcR2"}] |  | [https://www.swip.ac.cn](https://www.swip.ac.cn/) |  |  |  | 托卡马克物理、高参数等离子体、聚变堆设计、偏滤器 / 第一壁材料 | ["甲方"] |  | 2000 |  | ["国央企"] | 中国磁约束聚变发源地，运营HL-2M、中国环流三号，托卡马克参数世界领先，承担国家聚变重大专项。 |  | 核工业西南物理研究院 |  |  | ["中国"] | [swip@swip.ac.cn](http://swip@swip.ac.cn) | 1965-06-04 00:00:00 |  |  |
| recvk9ZmAnIVHm | 能量奇点 |  | 上海市浦东新区张江科学城 |  | [{"id":"recvk9U8egTpUf"},{"id":"recvk9U8ega6w0"}] | [{"id":"recvjWWd2ttqLa"},{"id":"recvkiVxycVifA"},{"id":"recvkiVxycF8Av"},{"id":"recvkiVxycTUSL"}] | [{"id":"recvk9W5vuID6T"},{"id":"recvk1YGDnovtx"},{"id":"recvk1YGDnnYaQ"}] |  |  | [https://www.energysingularity.cn](https://www.energysingularity.cn/) |  | [] |  | 高温超导托卡马克、AI 等离子体控制、紧凑型聚变装置、高场磁体 | ["暂无"] |  | 120 |  | ["民营企业"] | 国内高温超导托卡马克商业公司，“洪荒 70”于 2026 年 1 月实现千秒级长脉冲稳态运行。 |  | 能量奇点能源科技（上海）有限公司 |  | [{"id":"recvjYDkV9cY4X"},{"id":"recvk9UmwQUf5F"}] | ["中国"] | [info@energysingularity.cn](http://info@energysingularity.cn) | 2021-06-05 00:00:00 |  | 5000000000 |
| recvk9ZmAnVqD4 | 诺瓦聚变 |  | 中国（上海）自由贸易试验区临港新片区妙香路 1235 号 |  |  | [{"id":"recvk2FZFtR8pB"},{"id":"recvkiVxycDysX"}] | [{"id":"recvk1YGDnSSD8"}] |  |  | [https://www.novafusion.cn](https://www.novafusion.cn/) |  |  |  |  | ["甲方"] |  | 80 |  | ["民营企业"] | 紧凑型托卡马克、聚变工程化、等离子体模拟 |  | 诺瓦聚变能源科技（上海）有限公司 |  | [{"id":"recvjYDkV93yZo"},{"id":"recvjYDkV9Xzzm"}] | ["中国"] |  | 2025-04-11 00:00:00 |  | 7000000000 |
| recvk9ZmAn2SOi | 星环聚能 |  | 上海市嘉定区澄浏公路 52 号 39 幢 2 楼 |  |  | [{"id":"recvkiVxycCQSg"},{"id":"recvjWXmd8jfGn"}] | [{"id":"recvkiVLpWdeBa"},{"id":"recvk1YGDn6q6Z"}] |  |  | [https://www.star-fusion.cn](https://www.star-fusion.cn/) |  |  |  |  | ["甲方"] |  | 140 |  | ["民营企业"] | 小型化商业化托卡马克、聚变装置运维服务 |  | 上海星环聚能科技有限公司 |  | [{"id":"recvjYDkV923ro"},{"id":"recvjYDkV9cJn6"},{"id":"recvlG3FjI1sgb"}] | ["中国"] | [wangke@sunist.org](http://wangke@sunist.org) | 2021-10-09 00:00:00 |  | 10000000000 |
| recvk9ZmAnWrE6 | 瀚海聚能 |  | 四川省成都市经开区翠柏路瀚海聚能研发中心 |  | [{"id":"recvk9U8egr7r2"}] | [{"id":"recvk2FsWc4t0x"},{"id":"recvkiVxycTehd"},{"id":"recvkiVxycMBGW"}] | [{"id":"recvk1SGzPSL9s"}] |  |  | [https://www.hanhaifusion.cn](https://www.hanhaifusion.cn/) |  |  |  | FRC 装置、等离子体源、诊断系统、聚变中子源 | ["甲方"] |  | 30 |  | ["民营企业"] | 国内首家直线型 FRC 场反位形商业聚变公司。 |  | 瀚海聚能（成都）科技有限公司 |  | [{"id":"recvk9VlBlzIly"},{"id":"recvk9VlBlmIf3"}] | ["中国"] | [contact@hhmax-energy.com](http://contact@hhmax-energy.com) | 2022-12-10 00:00:00 |  |  |
| recvk9ZmAn0Vga | 星能玄光 |  | 合肥市高新区中国科大先研院 |  | [{"id":"recvmnj66m1r6o"}] | [{"id":"recvk2Fpwk4MWJ"}] | [{"id":"recvk1YGDneU1S"}] |  |  | [https://www.xingnengxuang.com](https://www.xingnengxuang.com/) |  |  |  | FRC 稳态约束、磁镜聚变、高 β 等离子体、数值模拟 | ["竞争对手"] |  | 25 |  | ["民营企业"] | 依托中科大 KMAX-FRC 课题组，FRC + 磁镜混合约束路线。 |  | 星能玄光（合肥）科技有限公司 |  | [{"id":"recvk9VlBlLxBF"},{"id":"recvmniCJoS6gG"}] | ["中国"] | [info@xingnengfusion.com](http://info@xingnengfusion.com) | 2024-05-03 00:00:00 |  |  |
| recvk9ZmAneg0r | 聚变新能 |  | 安徽省合肥市新站高新区 |  |  |  | [] |  |  | [https://www.jbnenergy.com.cn](https://www.jbnenergy.com.cn/) |  |  |  | 聚变堆系统集成、超导磁体、氚技术 | ["甲方"] |  |  |  | ["民营企业"] | 安徽省重点聚变产业化平台，依托合肥科学岛和中科院等离子体所，推进聚变工程化技术开发与装备制造。 |  | 安徽聚变新能科技有限公司 |  | [{"id":"recvjYDkV96bUR"}] | ["中国"] | [info@neofusion.cn](http://info@neofusion.cn) |  |  | 5000000000 |
| recvk9ZmAnJKMA | 新烛时代 |  | 北京市海淀区中关村环保园 |  |  |  |  |  |  | [https://www.xinzhu-era.com](https://www.xinzhu-era.com/) |  |  |  | 聚变等离子体模拟、AI4Fusion、数值仿真工具链 | ["竞争对手"] |  | 15 |  | ["民营企业"] | 聚变等离子体AI模拟与数值仿真工具链开发商，聚焦AI4Fusion、数字孪生聚变堆。 |  | 新烛时代（北京）科技有限公司 |  | [{"id":"recvk9ZXR6KiIq"}] | ["中国"] | [contact@candlefusion.com](http://contact@candlefusion.com) | 2023-05-26 00:00:00 |  | 360000000 |
| recvk9ZmAnWh6Y | 岩超聚能 |  | 北京市昌平区未来科学城 |  |  |  | [{"id":"recvk1YGDniVMF"}] |  |  |  |  |  |  | 惯性约束聚变、激光驱动聚变、靶丸制造 | ["甲方"] |  | 20 |  | ["民营企业"] | 惯性约束聚变初创企业，聚焦激光驱动聚变和靶丸制造技术。 |  | 岩超聚能（北京）科技有限公司 |  | [{"id":"recvk9ZPiv7KW0"}] | ["中国"] |  |  |  |  |
| recvk9ZmAnNK57 | 鸿鹄聚变 |  | 苏州市工业园区桑田岛 |  |  |  |  |  |  |  |  |  |  | 仿星器紧凑型、3D 磁场优化、稳态聚变 | ["甲方"] |  | 15 |  | ["民营企业"] | 仿星器紧凑型聚变企业，聚焦3D磁场优化和稳态聚变技术开发。 |  | 鸿鹄聚变能源（苏州）有限公司 |  | [{"id":"recvk9ZPiv81Fn"}] | ["中国"] | [info@honghufusion.com](http://info@honghufusion.com) | 2024-05-24 00:00:00 |  |  |
| recvk9ZmAnLVjh | 零点聚能 |  | 宁波市北仑区青峙工业园 |  |  |  |  |  |  |  |  |  |  | Z 箍缩聚变、脉冲功率电源、紧凑型脉冲装置 | ["甲方"] |  | 10 |  | ["民营企业"] | Z箍缩脉冲聚变技术开发商，聚焦紧凑型脉冲装置和脉冲功率电源。 |  | 零点聚能（宁波）科技有限公司 |  | [{"id":"recvk9ZPiv9Iku"}] | ["中国"] | [contact@lingpointenergy.com](http://contact@lingpointenergy.com) |  |  |  |
| recvk9ZmAn8jfl | 安东聚变 |  | 长沙市岳麓区高新区 |  |  | [{"id":"recvkiVxycr2bZ"}] | [{"id":"recvk1YGDn3rCG"}] |  |  |  |  |  |  | 托卡马克工程组件、偏滤器、第一壁材料、诊断设备 | ["甲方"] |  | 25 |  | ["民营企业"] | 托卡马克工程组件供应商，专注偏滤器、第一壁材料和聚变诊断设备研发制造。 |  | 安东聚变（长沙）科技有限公司 |  | [{"id":"recvk9ZPivGJIL"}] | ["中国"] | [info@andongfusion.com](http://info@andongfusion.com) |  |  |  |
| recvk9ZmAnPIIf | 环宇聚变 |  |  |  |  |  |  |  |  |  |  |  |  | 聚变发电系统、能量转换、氚增殖包层 | ["甲方"] |  | 10 |  | ["民营企业"] | 聚变发电系统集成商，聚焦能量转换系统和氚增殖包层技术。 |  | 环宇聚变（深圳）有限公司 |  | [{"id":"recvk9ZXR6G7jT"}] | ["中国"] | [info@hyfusion.com](http://info@hyfusion.com) |  |  |  |
| recvk9ZmAnXVhn | 启明星聚变 |  | 中国工程物理研究院 |  |  |  |  |  |  |  |  |  |  | 惯性约束、Z 箍缩、高能量密度物理 | ["甲方"] |  |  |  | ["民营企业"] | 依托中国工程物理研究院技术积累，聚焦惯性约束聚变和Z箍缩高能量密度物理。 |  | 启明星聚变（绵阳）科技有限公司 |  | [{"id":"recvk9ZPivaDuy"}] | ["中国"] |  |  |  |  |
| recvk9ZmAngIhG | 中科聚能 |  |  |  |  |  |  |  |  |  |  |  |  | EAST 技术转化、超导磁体、聚变装备 | ["甲方"] |  | 30 |  | ["民营企业"] | 依托中科院等离子体物理研究所EAST成果，推动聚变技术产业化转化，聚焦超导磁体和聚变装备。 |  | 中科聚能（合肥）科技有限公司 |  | [{"id":"recvk9ZX0HUtaJ"}] | ["中国"] |  |  |  |  |
| recvk9ZmAn7fPm | 乾元聚变 |  |  |  |  |  |  |  |  |  |  |  |  | 聚变数值模拟、AI 控制、等离子体湍流算法 | ["竞争对手"] |  |  |  | ["民营企业"] | 聚变数值模拟与AI控制技术开发商，专注等离子体湍流算法和实时控制软件。 |  | 乾元聚变（西安）科技有限公司 |  | [{"id":"recvk9ZXR6yM9q"}] | ["中国"] | [contact@qianyuanfusion.com](http://contact@qianyuanfusion.com) |  |  |  |
| recvk9ZmAnIqlD | 极星聚变 |  |  |  |  |  |  |  |  |  |  |  |  | 球形托卡马克、高 β 等离子体、小型化堆芯 | ["暂无"] |  |  |  | ["民营企业"] | 球形托卡马克小型化聚变装置开发商，聚焦高β等离子体约束和紧凑型堆芯设计。 |  | 极星聚变（广州）科技有限公司 |  | [{"id":"recvk9ZXR6UuFN"}] | ["中国"] |  |  |  |  |
| recvk9ZmAnXIm3 | 华光聚变 |  |  |  |  |  |  |  |  |  |  |  |  | 聚变加热系统、离子回旋加热、中性束注入 | ["暂无"] |  |  |  | ["民营企业"] | 聚变加热系统专业供应商，聚焦离子回旋加热和中性束注入技术。 |  | 华光聚变（无锡）科技有限公司 |  | [{"id":"recvk9ZXR64YNR"}] | ["中国"] |  |  |  |  |
| recvk9ZmAnbJoi | 九州聚变 |  |  |  |  |  |  |  |  |  |  |  |  | 聚变堆真空室、低温系统、超导磁体装备 | ["暂无"] |  |  |  | ["民营企业"] | 聚变堆关键装备制造商，专注真空室、低温系统和超导磁体装备。 |  | 九州聚变（青岛）科技有限公司 |  | [{"id":"recvk9ZXR60jqW"}] | ["中国"] |  |  |  |  |
| recvk9ZmAnWs6G | 江西聚变能源 |  | 江西省南昌市南昌高新技术产业开发区京东大道168号科技大楼10楼 |  |  | [{"id":"recvkjq79pOYd5"}] | [{"id":"recvk1YGDnMGYj"}] |  |  |  |  |  |  | 高温超导托卡马克、聚变-裂变混合堆、聚变能源技术 | ["暂无"] |  | 50 |  | ["民营企业"] | 由江西省电子集团有限公司和江西联创超导技术有限公司共同投资组建，专注于聚变能源技术开发和商业化。推进"星火一号"高温超导混合堆项目，设计等效聚变功率超40MW，目标2030年实现演示发电。 |  | 江西聚变新能源有限责任公司 |  |  | ["中国"] | fusion@jxfe.com.cn | 2024-08-16 00:00:00 |  |  |
| recvk9ZmAnFY5G | 北京大学 |  | 北京市海淀区颐和园路5号 |  |  | [{"id":"recvkiVxycyAY2"},{"id":"recvkiVxycr8bi"},{"id":"recvkiVxycwPlK"},{"id":"recvkiVxyc9aUV"},{"id":"recvkiVxycexUM"},{"id":"recvkiVxycWh1h"},{"id":"recvkiVxycCS3Q"},{"id":"recvkiVxycsw3a"}] |  |  |  | [https://www.pku.edu.cn](https://www.pku.edu.cn/) |  |  |  | 等离子体物理、聚变理论、高能量密度物理 | ["暂无"] |  |  |  | ["高等院校"] | 中国顶尖综合性研究型大学，等离子体物理和聚变理论研究处于国内领先水平。 |  | 北京大学 |  |  | ["中国"] |  |  |  |  |
