[lark-cli] [WARN] proxy detected: HTTPS_PROXY=http://127.0.0.1:7890 — requests (including credentials) will transit through this proxy. Set LARK_CLI_NO_PROXY=1 to disable proxy.
`_record_id` is metadata for record operations, not a table field.

| _record_id | 论文标题 | 第一单位 | 期刊 | 论文点评 | 关联代码 | 关联度评分 | 第一作者 | 论文解析 | 论文摘要 | 通讯作者 | 发表时间 | 知识库 | 论文链接 | 关联装置 | 论文全文 | 价值评分 |
| recvkp7B4Dkl9L | Modeling of a chain of three plasma accelerator stages with the WarpX electromagnetic PIC code on GPUs |  | [{"id":"recvjSLzxMbRtn"}] |  | [{"id":"recvjRPrWaC9sj"}] |  |  |  |  |  | 2021-02-01 00:00:00 |  |  |  |  |  |
| recvkp7B4Dy6w1 | The EIRENE and B2-EIRENE Codes |  | [{"id":"recvjRRSIwLUBn"}] |  | [{"id":"recvjRPrWaDDNC"}] |  |  |  |  |  | 2005-02-01 00:00:00 |  | [https://doi.org/10.13182/fst47-172](https://doi.org/10.13182/fst47-172) |  |  |  |
| recvkp7B4D45EQ | [https://eirene.de/](https://eirene.de/) |  |  |  | [{"id":"recvjRPrWaDDNC"}] |  |  |  |  |  | 1992-01-01 00:00:00 |  |  |  |  |  |
| recvkp7B4DkEpd | Hirshman & Sundaram, PF 1993 |  | [{"id":"recvjSWUemcTAf"}] |  | [{"id":"recvjRPrWaoosn"}] |  |  |  |  |  | 1993-01-01 00:00:00 |  |  |  |  |  |
| recvkp7B4DzhB1 | Multiple timescale calculations of sawteeth and other global macroscopic dynamics of tokamak plasmas |  |  |  | [{"id":"recvjRPrWamqTI"}] |  |  |  |  |  | 2012-05-25 00:00:00 |  |  |  |  |  |
| recvkp7B4Dbhlr | Multi-region approach to free-boundary three-dimensional tokamak equilibria and resistive wall instabilities |  | [{"id":"recvjSLzxMbRtn"}] |  | [{"id":"recvjRPrWamqTI"}] |  |  |  |  |  | 2016-05-01 00:00:00 |  |  |  |  |  |
| recvkp7B4DjBIT | Conservative discontinuous Galerkin schemes for nonlinear Dougherty–Fokker–Planck collision operators |  | [{"id":"recvjSYGoYGJ3M"}] |  | [{"id":"recvjRPrWar0ww"}] |  |  |  |  |  | 2020-08-01 00:00:00 |  | [https://doi.org/10.1017/S0022377820000707](https://doi.org/10.1017/S0022377820000707) |  |  |  |
| recvkp7B4DzEXX | Erratum: Nonequilibrium two-fluid plasmas can generate magnetic fields and flows simultaneously [Phys. Plasmas <b>17</b>, 092102 (2010)] |  | [{"id":"recvjSLzxMbRtn"}] |  | [{"id":"recvjRPrWar0ww"}] |  |  |  |  |  | 2022-06-01 00:00:00 |  |  |  |  |  |
| recvkp7B4DspEo | OSIRIS: A Three-Dimensional, Fully Relativistic Particle in Cell Code for Modeling Plasma Based Accelerators |  |  |  | [{"id":"recvjRPrWaDp50"}] |  |  |  |  |  | 2002-01-01 00:00:00 |  | [https://doi.org/10.1007/3-540-47789-6_36](https://doi.org/10.1007/3-540-47789-6_36) |  |  |  |
| recvkp7B4DOjjE | [https://picksc.idre.ucla.edu/](https://picksc.idre.ucla.edu/) |  |  |  | [{"id":"recvjRPrWaDp50"}] |  |  |  |  |  | 2015-01-01 00:00:00 |  |  |  |  |  |
| recvkp7B4DeJPd | Ultrahigh performance three-dimensional electromagnetic relativistic kinetic plasma simulation |  | [{"id":"recvjSLzxMbRtn"}] |  | [{"id":"recvjRPrWaKU9s"}] |  |  |  |  |  | 2008-05-01 00:00:00 |  |  |  |  |  |
| recvkp7B4DEQA1 | [https://github.com/lanl/vpic](https://github.com/lanl/vpic) |  |  |  | [{"id":"recvjRPrWaKU9s"}] |  |  |  |  |  | 2011-01-01 00:00:00 |  |  |  |  |  |
| recvkp7B4DO6Fe | New techniques for calculating heat and particle source rates due to neutral beam injection in axisymmetric tokamaks |  | [{"id":"recvjSUgSUAvaD"}] |  | [{"id":"recvjRPrWaDbQ7"}] |  |  |  |  |  | 1981-09-01 00:00:00 |  | [https://doi.org/10.1016/0021-9991(81)90111-x](https://doi.org/10.1016/0021-9991(81)90111-x) |  |  |  |
| recvkp7B4DYlBx | Hybrid symplectic integrators for relativistic particles in electric and magnetic fields |  |  |  | [{"id":"recvjRPrWaDbQ7"}] |  |  |  |  |  | 2014-02-11 00:00:00 |  |  |  |  |  |
| recvkp7B4DsXpJ | Non-linear model-based optimization of actuator trajectories for tokamak plasma profile control |  | [{"id":"recvjRRSIwjPg3"}] |  | [{"id":"recvjRPrWahI9u"}] |  |  |  |  |  | 2012-02-01 00:00:00 |  |  |  |  |  |
| recvkp7B4DD9NK | Real-time physics-model-based simulation of the current density profile in tokamak plasmas |  | [{"id":"recvjRRSIwhK3s"}] |  | [{"id":"recvjRPrWahI9u"}] |  |  |  |  |  | 2011-08-01 00:00:00 |  |  |  |  |  |
| recvkp7B4DTSwF | Modeling the vapor shielding of a liquid lithium divertor target using SOLPS-ITER |  | [{"id":"recvjRRSIwhK3s"}] |  | [{"id":"recvjRPrWaq6ld"}] |  |  |  |  |  | 2021-03-01 00:00:00 |  | [https://doi.org/10.1088/1741-4326/abd642](https://doi.org/10.1088/1741-4326/abd642) |  |  |  |
| recvkp7B4Dk6Uh | A high-accuracy Eulerian gyrokinetic solver for collisional plasmas |  | [{"id":"recvjSUgSUAvaD"}] |  | [{"id":"recvjRPrWahm04"}] |  |  |  |  |  | 2016-11-01 00:00:00 |  | [https://doi.org/10.1016/j.jcp.2016.07.039](https://doi.org/10.1016/j.jcp.2016.07.039) |  |  |  |
| recvkp7B4Dwz0Z | Validation metrics for turbulent plasma transport |  | [{"id":"recvjSLzxMbRtn"}] |  | [{"id":"recvjRPrWahm04"}] |  |  |  |  |  | 2016-06-01 00:00:00 |  |  |  |  |  |
| recvkp7B4DAADE | Electron Temperature Gradient Turbulence |  | [{"id":"recvjRRSIw612T"}] |  | [{"id":"recvjRPrWac9I8"}] |  |  |  |  |  | 2000-11-27 00:00:00 |  | [https://doi.org/10.1103/PhysRevLett.85.5579](https://doi.org/10.1103/PhysRevLett.85.5579) |  |  |  |
| recvkp7B4DxvNU | Computation of multi-region relaxed magnetohydrodynamic equilibria |  | [{"id":"recvjSLzxMbRtn"}] |  | [{"id":"recvjRPrWa5sJe"}] |  |  |  |  |  | 2012-11-01 00:00:00 |  |  |  |  |  |
| recvkp7B4DG7vd | Continuum electromagnetic gyrokinetic simulations of turbulence in the tokamak scrape-off layer and laboratory devices |  | [{"id":"recvjSLzxMbRtn"}] |  | [{"id":"recvjRPrWa5sJe"}] |  |  |  |  |  | 2020-04-07 00:00:00 |  | [https://doi.org/10.1063/1.5141157](https://doi.org/10.1063/1.5141157) |  |  |  |
| recvkp7B4Di29J | Integrated simulation of the generation and transport of proton beams from laser-target interaction |  | [{"id":"recvjSLzxMbRtn"}] |  | [{"id":"recvkkeyuWfx7h"}] |  |  |  |  |  | 2006-06-01 00:00:00 |  | [https://doi.org/10.1063/1.2207587](https://doi.org/10.1063/1.2207587) |  |  |  |
| recvkp7B4DEDIw | Compressed ion temperature gradient turbulence in diverted tokamak edge |  | [{"id":"recvjSLzxMbRtn"}] |  | [{"id":"recvkkeyuWfx7h"}] |  |  |  |  |  | 2009-05-01 00:00:00 |  | [https://doi.org/10.1063/1.3125287](https://doi.org/10.1063/1.3125287) |  |  |  |
| recvkp7B4DMmyh | ASCOT: Solving the kinetic equation of minority particle species in tokamak plasmas |  | [{"id":"recvjSTMFL8R9N"}] |  | [{"id":"recvkkeInGIngo"}] |  |  |  |  |  | 2014-04-01 00:00:00 |  | [https://doi.org/10.1016/j.cpc.2014.01.014](https://doi.org/10.1016/j.cpc.2014.01.014) |  |  |  |
| recvkp7B4Dy4U1 | BOUT++: A framework for parallel plasma fluid simulations |  | [{"id":"recvjSTMFL8R9N"}] |  | [{"id":"recvkkeInGX3f7"}] |  |  |  |  |  | 2009-09-01 00:00:00 |  | [https://doi.org/10.1016/j.cpc.2009.03.008](https://doi.org/10.1016/j.cpc.2009.03.008) |  |  |  |
| recvkp7B4DYscQ | Hermes-3: Multi-component plasma simulations with BOUT++ |  | [{"id":"recvjRRSIwjPg3"}] |  | [{"id":"recvkkeInGX3f7"}] |  |  |  |  |  | 2022-01-01 00:00:00 |  | [https://doi.org/10.1088/1361-6587/ac5b0c](https://doi.org/10.1088/1361-6587/ac5b0c) |  |  |  |
| recvkp7B4DFotP | Hermes-3: Multi-component plasma simulations with BOUT++ |  | [{"id":"recvjSYGoYGJ3M"}] |  | [{"id":"recvkkeInGFU6m"}] |  |  |  |  |  | 2023-01-01 00:00:00 |  | [https://doi.org/10.1017/S0022377823000861](https://doi.org/10.1017/S0022377823000861) |  |  |  |
| recvkp7B4Dvsm4 | [https://github.com/boutproject/hermes-3](https://github.com/boutproject/hermes-3) |  |  |  | [{"id":"recvkkeInGFU6m"}] |  |  |  |  |  | 2020-01-01 00:00:00 |  |  |  |  |  |
| recvkp7B4D1yib | A fully implicit, time dependent 2-D fluid code for modeling tokamak edge plasmas |  |  |  | [{"id":"recvkkeInGdGKT"}] |  |  |  |  |  | 1992-01-01 00:00:00 |  | [https://doi.org/10.1016/S0022-3115(06)80028-0](https://doi.org/10.1016/S0022-3115(06)80028-0) |  |  |  |
| recvkp7B4DWZR0 | UEDGE: A 2D fluid code for modeling tokamak edge plasmas |  |  |  | [{"id":"recvkkeInGdGKT"}] |  |  |  |  |  | 2020-01-01 00:00:00 |  | [https://github.com/LLNL/UEDGE](https://github.com/LLNL/UEDGE) |  |  |  |
| recvkp7B4D6cK3 | 3D edge modeling and island divertor physics |  |  |  | [{"id":"recvkkeInGhvQm"}] |  |  |  |  |  | 2004-01-01 00:00:00 |  | [https://doi.org/10.1002/ctpp.20041009](https://doi.org/10.1002/ctpp.20041009) |  |  |  |
| recvkp7B4DGkQr | EIRENE: A Monte Carlo code for neutral particle transport in plasmas |  |  |  | [{"id":"recvkkeInGhvQm"}] |  |  |  |  |  | 2010-01-01 00:00:00 |  | [https://www.eirene.de/](https://www.eirene.de/) |  |  |  |
| recvkp7B4D6hgM | The JOREK non-linear extended MHD code and applications to large-scale instabilities |  | [{"id":"recvjRRSIwhK3s"}] | JOREK是欧洲聚变界广泛使用的非线性扩展MHD代码，专门用于模拟托卡马克中的大规模等离子体不稳定性，包括ELM（边界局域模）、 disruptions（破裂）和VDE（垂直位移事件）。该代码采用高阶有限元方法，对ITER破裂预测和缓解策略制定至关重要。 | [{"id":"recvkkeInG2lQy"}] | ["较高"] |  |  | 综述了JOREK非线性扩展MHD代码的主要物理模型、数值方法和应用场景，重点介绍了该代码在托卡马克ELM动力学、等离子体破裂和垂直位移事件等大规模不稳定性模拟中的最新进展。 |  | 2021-01-01 00:00:00 |  | [https://doi.org/10.1088/1741-4326/abf99f](https://doi.org/10.1088/1741-4326/abf99f) |  |  | ["高"] |
| recvkp7B4DBMPB | Bézier surfaces and finite elements for MHD simulations |  | [{"id":"recvjSUgSUAvaD"}] |  | [{"id":"recvkkeInG2lQy"}] |  |  |  |  |  | 2008-01-01 00:00:00 |  | [https://doi.org/10.1016/j.jcp.2008.04.001](https://doi.org/10.1016/j.jcp.2008.04.001) |  |  |  |
| recvkp7B4DpRiM | Nonlinear magnetohydrodynamics simulation using high-order finite elements |  | [{"id":"recvjSUgSUAvaD"}] |  | [{"id":"recvkkeInGIpCl"}] |  |  |  |  |  | 2004-01-01 00:00:00 |  | [https://doi.org/10.1016/j.jcp.2003.10.004](https://doi.org/10.1016/j.jcp.2003.10.004) |  |  |  |
| recvkp7B4DGzC8 | MARS-F: A finite element formulation for MHD stability and feedback analysis |  | [{"id":"recvjSLzxMbRtn"}] |  | [{"id":"recvkkeInGv9JH"}] |  |  |  |  |  | 2000-09-01 00:00:00 |  | [https://doi.org/10.1063/1.873437](https://doi.org/10.1063/1.873437) |  |  |  |
| recvkp7B4DZBNS | MARS-K: Effects of kinetic resonances on resistive wall mode stability in ITER |  | [{"id":"recvjRRSIwhK3s"}] |  | [{"id":"recvkkeInGv9JH"}] |  |  |  |  |  | 2015-01-01 00:00:00 |  | [https://doi.org/10.1088/0029-5515/55/6/063027](https://doi.org/10.1088/0029-5515/55/6/063027) |  |  |  |
| recvkp7B4DlhFI | A theory-based transport model with comprehensive physics |  | [{"id":"recvjSLzxMbRtn"}] |  | [{"id":"recvkkeInGT9jt"}] |  |  |  |  |  | 2007-05-01 00:00:00 |  | [https://doi.org/10.1063/1.2436852](https://doi.org/10.1063/1.2436852) |  |  |  |
| recvkp7B4DCrqE | The TGLF transport model: Critical gradient with dynamic flow shear |  | [{"id":"recvjSLzxMbRtn"}] |  | [{"id":"recvkkeInGT9jt"}] |  |  |  |  |  | 2016-01-01 00:00:00 |  | [https://doi.org/10.1063/1.4949087](https://doi.org/10.1063/1.4949087) |  |  |  |
| recvkp7B4D98va | An Eulerian gyrokinetic-Maxwell solver |  | [{"id":"recvjSUgSUAvaD"}] |  | [{"id":"recvkkeInGYzGm"}] |  |  |  |  |  | 2003-04-01 00:00:00 |  | [https://doi.org/10.1016/S0021-9991(03)00079-2](https://doi.org/10.1016/S0021-9991(03)00079-2) |  |  |  |

Meta: count=50; has_more=true; record_scope=all_records; field_scope=all_fields
=== BATCH_END_0 ===
[lark-cli] [WARN] proxy detected: HTTPS_PROXY=http://127.0.0.1:7890 — requests (including credentials) will transit through this proxy. Set LARK_CLI_NO_PROXY=1 to disable proxy.
`_record_id` is metadata for record operations, not a table field.

| _record_id | 论文标题 | 第一单位 | 期刊 | 论文点评 | 关联代码 | 关联度评分 | 第一作者 | 论文解析 | 论文摘要 | 通讯作者 | 发表时间 | 知识库 | 论文链接 | 关联装置 | 论文全文 | 价值评分 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| recvkp7B4DTKhr | Tokamak profile prediction using direct gyrokinetic and neoclassical simulation |  | [{"id":"recvjSLzxMbRtn"}] |  | [{"id":"recvkkeInGRGyl"}] |  |  |  |  |  | 2009-06-01 00:00:00 |  | [https://doi.org/10.1063/1.3167820](https://doi.org/10.1063/1.3167820) |  |  |  |
| recvkp7B4Dmnym | Alfvén eigenmode stability and critical gradient energetic particle transport using TGLF |  | [{"id":"recvjSLzxMbRtn"}] |  | [{"id":"recvkkeInGRGyl"}] |  |  |  |  |  | 2011-01-01 00:00:00 |  | [https://doi.org/10.1063/1.4989716](https://doi.org/10.1063/1.4989716) |  |  |  |
| recvkp7B4DozOg | A new quasilinear transport model: QuaLiKiz |  | [{"id":"recvjRRSIwjPg3"}] |  | [{"id":"recvkkeInGj0pa"}] |  |  |  |  |  | 2007-01-01 00:00:00 |  | [https://doi.org/10.1088/0741-3335/49/12B/S16](https://doi.org/10.1088/0741-3335/49/12B/S16) |  |  |  |
| recvkp7B4DVKpa | Integrated modeling applications for tokamak experiments with OMFIT |  | [{"id":"recvjRRSIwhK3s"}] |  | [{"id":"recvkkeInGJou4"}] |  |  |  |  |  | 2015-01-01 00:00:00 |  | [https://doi.org/10.1088/0029-5515/55/10/106018](https://doi.org/10.1088/0029-5515/55/10/106018) |  |  |  |
| recvkp7B4D3gXu | Design and first applications of the ITER integrated modelling and analysis suite |  | [{"id":"recvjRRSIwhK3s"}] |  | [{"id":"recvkkeInGi4df"}] |  |  |  |  |  | 2018-01-01 00:00:00 |  | [https://doi.org/10.1088/0029-5515/58/2/026006](https://doi.org/10.1088/0029-5515/58/2/026006) |  |  |  |
| recvkp7B4Dz5Ny | IMAS Documentation |  |  |  | [{"id":"recvkkeInGi4df"}] |  |  |  |  |  | 2015-01-01 00:00:00 |  |  |  |  |  |
| recvkp7B4DQeRk | IMAS Team, [https://imas.iter.org/](https://imas.iter.org/) |  |  |  | [{"id":"recvkkeInGhwyz"}] |  |  |  |  |  | 2015-01-01 00:00:00 |  |  |  |  |  |
| recvkp7B4DLO0T | BOUT++: A framework for parallel plasma fluid simulations |  | [{"id":"recvjSTMFL8R9N"}] |  | [{"id":"recvkkeInG1V0O"}] |  |  |  |  |  | 2014-01-01 00:00:00 |  | [https://doi.org/10.1016/j.cpc.2014.01.014](https://doi.org/10.1016/j.cpc.2014.01.014) |  |  |  |
| recvkp7B4DPeOI | FreeGS: Free-boundary Grad-Shafranov equilibrium solver |  |  |  | [{"id":"recvkkeInGFRGR"}] |  |  |  |  |  | 2020-01-01 00:00:00 |  | [https://github.com/freegs-nke/freegsnke](https://github.com/freegs-nke/freegsnke) |  |  |  |
| recvkp7B4DdEaa | Reconstruction of current profile parameters and plasma shapes in tokamaks |  | [{"id":"recvjRRSIwhK3s"}] |  | [{"id":"recvkkeInG4xdE"}] |  |  |  |  |  | 1985-11-01 00:00:00 |  | [https://doi.org/10.1088/0029-5515/25/11/007](https://doi.org/10.1088/0029-5515/25/11/007) |  |  |  |
| recvkp7B4DK30t | Equilibrium analysis of current profiles in tokamaks |  | [{"id":"recvjRRSIwhK3s"}] |  | [{"id":"recvkkeInG4xdE"}] |  |  |  |  |  | 1990-01-01 00:00:00 |  | [https://doi.org/10.1088/0029-5515/30/6/006](https://doi.org/10.1088/0029-5515/30/6/006) |  |  |  |
| recvkp7B4DaCWr | Direct construction of optimized stellarator shapes. Part 3. Omnigenity near the magnetic axis |  | [{"id":"recvjSYGoYGJ3M"}] |  | [{"id":"recvkkeInGBKeK"}] |  |  |  |  |  | 2021-01-01 00:00:00 |  | [https://doi.org/10.1017/S0022377821000945](https://doi.org/10.1017/S0022377821000945) |  |  |  |
| recvkp7B4DEpQm | Physics issues of compact drift optimized stellarators |  | [{"id":"recvjRRSIwhK3s"}] |  | [{"id":"recvkkeInG7Qa0"}] |  |  |  |  |  | 2001-01-01 00:00:00 |  | [https://doi.org/10.1088/0029-5515/41/6/305](https://doi.org/10.1088/0029-5515/41/6/305) |  |  |  |
| recvkp7B4DVyK6 | Landreman, NF 2017 |  | [{"id":"recvjRRSIwhK3s"}] |  | [{"id":"recvkkeInGraAL"}] |  |  |  |  |  | 2017-01-01 00:00:00 |  |  |  |  |  |
| recvkp7B4Dkfwi | "PROCESS": A systems code for fusion power plants—Part 1: Physics |  | [{"id":"recvjSUr5IFIjX"}] |  | [{"id":"recvkkeInGO8bd"}] |  |  |  |  |  | 2014-01-01 00:00:00 |  | [https://doi.org/10.1016/j.fusengdes.2014.09.018](https://doi.org/10.1016/j.fusengdes.2014.09.018) |  |  |  |
| recvkp7B4DVI2g | The ITER integrated modelling and analysis suite (IMAS) |  | [{"id":"recvjSUr5IFIjX"}] |  | [{"id":"recvkkeInGO8bd"}] |  |  |  |  |  | 2020-01-01 00:00:00 |  | [https://doi.org/10.1016/j.fusengdes.2020.111534](https://doi.org/10.1016/j.fusengdes.2020.111534) |  |  |  |
| recvkp7B4DcsjK | Bluemira Team, [https://github.com/Fusion-Power-Plant-Framework/bluemira](https://github.com/Fusion-Power-Plant-Framework/bluemira) |  |  |  | [{"id":"recvkkeInGhzVf"}] |  |  |  |  |  | 2021-01-01 00:00:00 |  |  |  |  |  |
| recvkp7B4DbyIT | ITER Physics Basis, Nucl. Fusion 39, 2137 (1999) |  | [{"id":"recvjRRSIwhK3s"}] |  | [{"id":"recvkkeInGgNlu"}] |  |  |  |  |  | 1999-01-01 00:00:00 |  |  |  |  |  |
| recvkp7B4DDmIF | ITER Physics Expert Group |  |  |  | [{"id":"recvkkeInGgNlu"}] |  |  |  |  |  | 1999-01-01 00:00:00 |  |  |  |  |  |
| recvkp7B4DKPVW | Finite element analysis of hydrogen retention in ITER plasma facing components using FESTIM |  |  |  | [{"id":"recvkkeInGLNY0"}] |  |  |  |  |  | 2022-01-01 00:00:00 |  | [https://doi.org/10.1016/j.jnucmat.2021.153135](https://doi.org/10.1016/j.jnucmat.2021.153135) |  |  |  |
| recvkp7B4DJpSj | The ITER integrated modelling and analysis suite (IMAS) – Status and future plans |  | [{"id":"recvjSUr5IFIjX"}] |  | [{"id":"recvkkeInGLNY0"}] |  |  |  |  |  | 2023-01-01 00:00:00 |  | [https://doi.org/10.1016/j.fusengdes.2022.113339](https://doi.org/10.1016/j.fusengdes.2022.113339) |  |  |  |
| recvkp7B4DL5RH | The ITER integrated modelling and analysis suite (IMAS) – Architecture and design |  |  |  | [{"id":"recvkkeInGJf6E"}] |  |  |  |  |  | 2015-01-01 00:00:00 |  | [https://doi.org/10.1016/j.anucene.2015.01.020](https://doi.org/10.1016/j.anucene.2015.01.020) |  |  |  |
| recvkp7B4D6N1a | [https://docs.openmc.org/](https://docs.openmc.org/) |  |  |  | [{"id":"recvkkeInGJf6E"}] |  |  |  |  |  | 2013-01-01 00:00:00 |  |  |  |  |  |
